"序号","文件","实际页面或状态","证据等级","判定与用途"
"01","01-启动后状态.png","HomeActivity 加载态","有效但命名不精确","可用于首页加载、顶栏弱化和角色等待态审计；不是 Splash。"
"02","02-配置完成首页.png","HomeActivity 加载态","有效但命名不精确","与 01 接近，可观察配置完成后仍停留在通用加载态。"
"03","03-首页-主页焦点.png","HomeActivity + 首页来源选择 Dialog","有效但命名不精确","重点审计来源 Dialog、背景上下文、首页分类和海报遮挡。"
"04","04-顶部-我的豆瓣.png","HomeActivity / UserFragment 完整首页","有效","首页品牌栏、分类栏、快捷操作、海报和常驻角色的主要证据。"
"05","05-顶部-热门电影.png","GridFragment 豆瓣热门电影网格","有效","海报比例、评分标签、标题遮挡、列数和焦点空间的主要证据。"
"06","06-顶部-热播剧集.png","FastSearchActivity 搜源执行态","误命名但画面有效","实际显示搜源 16/94、结果 4；用于聚合搜索审计。"
"07","07-顶部-热播综艺.png","DetailActivity 已加载详情","误命名但画面有效","用于详情预览、元数据、按钮和下半区空白审计。"
"08","08-顶部-热门动漫.png","DetailActivity 已加载详情","误命名且近重复","与 07 同类，只作为详情加载速度和重复采集证据。"
"09","09-顶部-电影筛选.png","DetailActivity 已加载详情","误命名但画面有效","不是筛选页；可清楚观察四色操作按钮和原始播放 URL。"
"10","10-顶部-电视剧筛选.png","DetailActivity 已加载详情","误命名且近重复","不是筛选页；与 07 至 11 同类。"
"11","11-顶部-电影榜单.png","DetailActivity 已加载详情","误命名且近重复","不是榜单页；与 07 至 11 同类。"
"12","12-详情页-首屏.png","点播播放器控制层","误命名但画面有效","显示 0×0、0bps、00:00 和全量控制项，用于播放器审计。"
"13","13-历史页.png","HomeActivity 加载态","误命名","不能作为历史页证据，只能补充首页加载态。"
"14","14-直播页.png","HomeActivity 加载态","误命名","不能作为直播页证据，只能补充首页加载态。"
"15","15-搜索页.png","HomeActivity 加载态","误命名","不能作为搜索页证据，只能补充首页加载态。"
"16","16-推送页.png","HomeActivity 完整首页","误命名","不能作为推送页证据；与 04 同类。"
"17","17-收藏页.png","CollectActivity 空页面","有效","可证明收藏为空时没有解释文案和主操作。与 26 完全相同。"
"18","18-设置页.png","SettingActivity / ModelSettingFragment","有效","设置四列密集布局、长 URL、面板和无分组结构的主要证据。"
"19a","19-首页-内容焦点.png","HomeActivity + 首页来源选择 Dialog","有效但命名不精确","用于来源 Dialog 与首页内容焦点上下文；与 03、34 同类。"
"19b","19-详情页-卡片进入.png","FastSearchActivity 搜源执行态","误命名但画面有效","显示搜源 20/94、结果 0；用于聚合搜索执行态。"
"20","20-历史页.png","HistoryActivity 有内容","有效","历史标题、编辑图标、海报覆盖文字和不均匀网格的主要证据。"
"21","21-直播页.png","疑似 LivePlayActivity 初始加载层","部分有效","只有全屏背景和旋转图标；不能证明频道、EPG 和控制层。"
"22","22-搜索页.png","疑似 SearchActivity 全屏加载层","部分有效","只有全屏背景和旋转图标；不能证明搜索结果。"
"23","23-Activity-Splash.png","HomeActivity 完整首页","误命名且重复","不是 Splash；与 24 完全相同。"
"24","24-Activity-Home.png","HomeActivity 完整首页","有效","可作为首页基准画面；与 23 完全相同。"
"25","25-Activity-History.png","HistoryActivity 有内容","有效","可作为历史页基准画面；与 20 同类但不是完全重复。"
"26","26-Activity-Collect.png","CollectActivity 空页面","有效但重复","与 17 完全相同。"
"27","27-Activity-Search.png","SearchActivity 输入、热词和历史","有效","搜索三栏结构和所有主要元素的基准画面。"
"28","28-Activity-FastSearch.png","FastSearchActivity 准备/空结果态","有效","可观察准备搜索、结果 0 和无语义顶部色块。"
"29","29-Activity-Detail.png","DetailActivity 空初始态","部分有效","可证明详情初始化时只显示空背景；不能代表加载完成。"
"30","30-Activity-LivePlay.png","LivePlayActivity 黑屏/无 EPG 控制层","有效","直播频道提示、底部信息和黑色视频区的主要证据。"
"31","31-Activity-Push.png","PushActivity","有效","QR、说明、地址和剪贴板按钮的完整基准画面。"
"32","32-Activity-Setting.png","SettingActivity / ModelSettingFragment","有效","设置页基准画面，与 18 同类。"
"33","33-Activity-LocalFile.png","LocalFileActivity","有效","标题、路径、上级目录和焦点行的完整基准画面。"
"34","34-首页-菜单源选择.png","HomeActivity + 首页来源选择 Dialog","有效","来源 Dialog 的清晰基准画面。"
"35","35-设置-滚动中.png","SettingActivity 设置项焦点态","有效","可观察焦点填充、描边和设置页密度；未证明滚动位置。"
"36","36-设置-选项弹窗.png","SettingActivity 设置项切换后","误命名但画面有效","没有出现 Dialog，只显示弹幕从开启切换到关闭。"
"37","37-搜索-键盘或输入焦点.png","SearchActivity 搜索按钮焦点态","有效","可观察搜索页焦点，但未覆盖输入框软键盘或结果。"
"38","38-直播-控制层.png","LivePlayActivity 黑屏/无 EPG 控制层","有效","与 30 同类；频道图标姿态不同，可发现不稳定的角色台标表现。"
"39","39-启动-Logo瞬间.png","雷电模拟器桌面","无效","不属于 App；与 40 完全相同。"
"40","40-启动-加载过渡.png","雷电模拟器桌面","无效且重复","不属于 App；与 39 完全相同。"
"41","41-首页-真实首屏.png","Android 系统启动预览 / Splash window","误命名但画面有效","不是首页；可用于检查浅色系统 Splash。与 42 完全相同。"
"42","42-详情-真实影片.png","Android 系统启动预览 / Splash window","误命名且重复","不是详情页；与 41 完全相同。"
"43","43-搜索-真实结果.png","HomeActivity 加载态","误命名","不是搜索结果；可补充首页长加载和角色状态证据。"
